epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2038,1.00217,13.399,1.33775,0.07935,0.04946,0.01883,0.01661,0.62173,5.3827,1.07137,2.574e-05,2.574e-05,2.574e-05
2,23.157,0.61639,8.03987,1.07007,0.20153,0.26507,0.15972,0.14979,0.43395,3.0501,0.90456,4.89603e-05,4.89603e-05,4.89603e-05
3,32.5118,0.45643,5.73384,0.92131,0.44037,0.49533,0.44951,0.42572,0.37639,2.58857,0.87055,6.65179e-05,6.65179e-05,6.65179e-05
4,38.5105,0.38936,4.45207,0.88078,0.64229,0.54868,0.66957,0.63084,0.34161,2.20512,0.84209,7.84126e-05,7.84126e-05,7.84126e-05
5,46.2028,0.35979,3.54234,0.86642,0.60774,0.84075,0.8411,0.80109,0.3479,1.39619,0.83657,8.46446e-05,8.46446e-05,8.46446e-05
6,52.865,0.38253,3.00832,0.85862,0.77419,0.86816,0.92172,0.8668,0.35328,0.91951,0.83566,8.52137e-05,8.52137e-05,8.52137e-05
7,58.3036,0.37038,2.67773,0.84201,0.79916,0.89373,0.9505,0.90775,0.31698,0.73331,0.81994,8.012e-05,8.012e-05,8.012e-05
8,66.944,0.33923,2.35691,0.83667,0.77953,0.92569,0.9647,0.924,0.29507,0.68536,0.80563,6.93636e-05,6.93636e-05,6.93636e-05
9,72.5289,0.32762,2.21228,0.8239,0.85898,0.92796,0.97266,0.94353,0.28197,0.58074,0.79592,5.29443e-05,5.29443e-05,5.29443e-05
10,80.1053,0.31179,2.09441,0.84052,0.91298,0.93622,0.97108,0.94552,0.26886,0.50336,0.79132,3.08623e-05,3.08623e-05,3.08623e-05
