epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.143,0.82319,3.42882,1.41485,0.81396,0.54186,0.57755,0.50885,0.537,0.76546,1.02386,9.51507e-05,9.51507e-05,9.51507e-05
2,402.852,0.73659,0.93138,1.30688,0.67783,0.63943,0.6681,0.59801,0.46112,0.55487,0.96298,0.000171626,0.000171626,0.000171626
3,595.344,0.7189,0.72534,1.28546,0.56343,0.78435,0.709,0.62995,0.50618,0.53807,1.0082,0.000229226,0.000229226,0.000229226
4,787.394,0.68224,0.60328,1.24579,0.66558,0.85539,0.77423,0.70689,0.41464,0.41445,0.92241,0.000201058,0.000201058,0.000201058
5,978.876,0.64378,0.51589,1.21325,0.68556,0.88225,0.79362,0.73902,0.37218,0.37509,0.89636,0.000172744,0.000172744,0.000172744
6,1170.73,0.59478,0.44975,1.16897,0.69041,0.84792,0.82316,0.76921,0.35788,0.33483,0.88105,0.00014443,0.00014443,0.00014443
7,1363.84,0.5538,0.39299,1.14092,0.77979,0.83302,0.85469,0.80579,0.31385,0.29047,0.84598,0.000116116,0.000116116,0.000116116
8,1554.58,0.51755,0.34749,1.11298,0.76979,0.93114,0.85449,0.81422,0.30272,0.25951,0.83475,8.7802e-05,8.7802e-05,8.7802e-05
9,1747.36,0.48672,0.31173,1.08379,0.79988,0.92408,0.88662,0.84622,0.29068,0.24409,0.82468,5.9488e-05,5.9488e-05,5.9488e-05
10,1937.08,0.45892,0.28677,1.06758,0.80509,0.94497,0.90531,0.87011,0.2542,0.22331,0.80161,3.1174e-05,3.1174e-05,3.1174e-05
