epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02142,1.17228,3.4347,1.49788,0.00454,1,0.25737,0.17578,0.54275,3.04849,1.11047,1.429e-05,1.429e-05,1.429e-05
2,9.12293,1.14422,3.53605,1.40967,0.00458,1,0.34813,0.23755,0.55216,3.05216,1.14515,4.14553e-05,4.14553e-05,4.14553e-05
3,10.6302,1.16425,3.43461,1.46462,0.00455,1,0.4019,0.28649,0.57727,3.05973,1.15445,6.67343e-05,6.67343e-05,6.67343e-05
4,12.2925,0.93414,3.26116,1.3258,0.00452,1,0.41458,0.33582,0.51545,3.04197,0.98405,9.0127e-05,9.0127e-05,9.0127e-05
5,14.1491,0.89904,3.25251,1.33407,0.00427,1,0.34825,0.28232,0.47935,3.01823,0.97226,0.000111633,0.000111633,0.000111633
6,16.0033,0.91254,2.90236,1.24883,0.00423,1,0.49688,0.40377,0.47067,2.99891,0.9679,0.000131254,0.000131254,0.000131254
7,17.2518,0.777,2.64333,1.19335,0.00447,1,0.53854,0.42668,0.44857,2.9673,0.93311,0.000148988,0.000148988,0.000148988
8,18.413,0.80767,2.36983,1.16968,0.00445,1,0.58,0.49714,0.3471,2.88656,0.94838,0.000164835,0.000164835,0.000164835
9,19.5609,0.81406,2.14947,1.25296,0.00434,1,0.66292,0.6049,0.42917,2.8789,0.92344,0.000178796,0.000178796,0.000178796
10,20.7896,0.84547,2.15282,1.17673,0.00426,1,0.66292,0.51375,0.5275,2.82198,0.98067,0.000190872,0.000190872,0.000190872
11,21.9253,0.79121,1.81162,1.19909,0.00418,1,0.66292,0.51376,0.50318,2.78305,0.95548,0.00020106,0.00020106,0.00020106
12,23.0748,0.87402,2.0233,1.31011,0.00419,1,0.66292,0.62141,0.46461,2.74919,0.90811,0.000209363,0.000209363,0.000209363
13,24.3275,0.72063,1.58512,1.11396,0.00425,1,0.66292,0.63804,0.38327,2.77689,0.87462,0.000215779,0.000215779,0.000215779
14,25.5443,0.72889,1.7129,1.11627,0.00429,1,0.66292,0.62141,0.35071,2.78098,0.87647,0.000220309,0.000220309,0.000220309
15,27.0304,0.7438,1.81109,1.1808,0.00434,1,0.74625,0.69641,0.35352,2.80134,0.86527,0.000222953,0.000222953,0.000222953
16,28.5328,0.74156,1.5425,1.09049,0.00451,1,0.74625,0.72137,0.40618,2.7787,0.87381,0.00022371,0.00022371,0.00022371
17,30.3267,0.68727,1.49985,1.09259,0.00473,1,0.66292,0.63804,0.40029,2.74672,0.86931,0.000222581,0.000222581,0.000222581
18,31.9507,0.70432,1.38154,1.10763,0.00474,1,0.66292,0.63804,0.37866,2.66913,0.87418,0.000219566,0.000219566,0.000219566
19,33.3373,0.79754,1.5298,1.1627,0.00481,1,0.59625,0.54162,0.37399,2.59743,0.88147,0.000214664,0.000214664,0.000214664
20,34.4455,0.69043,1.42753,1.07905,0.00482,1,0.845,0.76549,0.41887,2.544,0.87942,0.000207877,0.000207877,0.000207877
21,36.8301,0.71694,2.20943,1.19699,0.00493,1,0.845,0.73574,0.45191,2.52448,0.87214,0.000199203,0.000199203,0.000199203
22,38.4137,0.44981,1.83395,0.96441,0.0049,1,0.845,0.76549,0.46214,2.56079,0.8623,0.000188642,0.000188642,0.000188642
23,39.638,0.50237,1.73842,0.98818,0.00483,1,0.995,0.85817,0.49484,2.64873,0.88461,0.000176196,0.000176196,0.000176196
24,40.7823,0.44408,1.68606,1.01255,0.00479,1,0.995,0.85817,0.46788,2.71835,0.90272,0.000161863,0.000161863,0.000161863
25,41.9276,0.5388,1.83149,1.08872,0.00479,1,0.66333,0.59284,0.45646,2.71597,0.90938,0.000145644,0.000145644,0.000145644
26,43.205,0.50438,1.87289,1.0341,0.44722,1,0.66333,0.57625,0.40005,2.72753,0.92245,0.000127538,0.000127538,0.000127538
27,44.8613,0.36739,1.66085,0.92521,1,0.43284,0.74625,0.72137,0.39422,2.63375,0.90805,0.000107547,0.000107547,0.000107547
28,46.4533,0.47636,1.70125,1.0316,1,0.43284,0.74625,0.72137,0.39422,2.63375,0.90805,8.56685e-05,8.56685e-05,8.56685e-05
29,48.2003,0.41224,1.57223,0.9792,1,0.3868,0.74625,0.72137,0.37703,2.58246,0.89743,6.19043e-05,6.19043e-05,6.19043e-05
30,49.7949,0.37851,1.59369,0.94262,1,0.3963,0.74625,0.72137,0.36503,2.52731,0.89493,3.62537e-05,3.62537e-05,3.62537e-05
