epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2519,0.80307,33.3211,1.15078,0.84239,0.20998,0.3111,0.27729,0.45765,4.48838,0.89375,7.722e-05,7.722e-05,7.722e-05
2,40.2638,0.5196,13.3545,0.92964,0.52324,0.56145,0.50889,0.46023,0.45088,3.12412,0.84735,0.000141727,0.000141727,0.000141727
3,54.3859,0.56797,10.3643,0.97205,0.76337,0.61995,0.6515,0.58229,0.49434,2.21519,0.85212,0.000190379,0.000190379,0.000190379
4,73.2433,0.52861,7.42139,0.91431,0.76983,0.46281,0.56863,0.52093,0.45292,2.62977,0.85596,0.000201058,0.000201058,0.000201058
5,86.7799,0.53259,5.64301,0.92684,0.66913,0.65,0.64041,0.59543,0.42842,1.47959,0.81248,0.000172744,0.000172744,0.000172744
6,102.322,0.46007,4.50916,0.89705,0.62747,0.7682,0.6445,0.5737,0.48927,1.45231,0.85364,0.00014443,0.00014443,0.00014443
7,117.841,0.52193,5.28025,0.89287,0.78722,0.62415,0.70736,0.66034,0.4382,1.25168,0.84391,0.000116116,0.000116116,0.000116116
8,133.276,0.45763,3.24565,0.86285,0.83295,0.62505,0.68472,0.65887,0.38303,1.11237,0.80639,8.7802e-05,8.7802e-05,8.7802e-05
9,148.811,0.41033,3.89894,0.85334,0.87244,0.6125,0.69391,0.65601,0.37917,1.1703,0.8087,5.9488e-05,5.9488e-05,5.9488e-05
10,163.161,0.35131,3.0185,0.80739,0.8684,0.60552,0.69075,0.66326,0.33427,1.19046,0.80012,3.1174e-05,3.1174e-05,3.1174e-05
