epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2661,1.13663,2.938,1.43412,0.63276,0.73688,0.73201,0.5002,1.11841,1.7134,1.58073,0.000254124,0.000254124,0.000254124
2,88.0445,1.11927,1.83695,1.382,0.81232,0.76464,0.86607,0.57711,1.14189,1.27682,1.58001,0.00050035,0.00050035,0.00050035
3,125.931,1.10014,1.52505,1.34359,0.82286,0.78882,0.8457,0.55628,1.21984,1.19454,1.63713,0.000736425,0.000736425,0.000736425
4,164.641,1.10679,1.3674,1.32859,0.82153,0.76587,0.86084,0.59182,1.13243,1.15892,1.5938,0.000723321,0.000723321,0.000723321
5,203.744,1.10716,1.24916,1.33391,0.85792,0.8448,0.90553,0.63416,1.07145,0.95099,1.49286,0.000708095,0.000708095,0.000708095
6,242.01,1.06881,1.09856,1.30469,0.93634,0.94473,0.95886,0.69373,1.0176,0.74506,1.41944,0.000692869,0.000692869,0.000692869
7,282.066,1.03403,1.02727,1.28427,0.87565,0.93225,0.94883,0.66798,1.08191,0.84669,1.4546,0.000677643,0.000677643,0.000677643
8,320.779,1.03644,0.95561,1.2821,0.93364,0.92103,0.95507,0.68315,1.0323,0.72166,1.44851,0.000662417,0.000662417,0.000662417
9,359.446,1.00453,0.91448,1.2624,0.87962,0.93954,0.94702,0.718,1.00962,0.69556,1.41231,0.00064719,0.00064719,0.00064719
10,398.013,0.99523,0.86127,1.25285,0.93893,0.91811,0.95767,0.70975,0.97417,0.64201,1.38421,0.000631964,0.000631964,0.000631964
11,437.216,0.95691,0.81186,1.2276,0.93203,0.92655,0.95794,0.70132,0.99369,0.65112,1.39195,0.000616738,0.000616738,0.000616738
12,477.114,0.96119,0.79773,1.23659,0.93129,0.9103,0.95186,0.71468,0.96862,0.66371,1.36851,0.000601512,0.000601512,0.000601512
13,515.042,0.95602,0.7474,1.22195,0.93111,0.91536,0.96671,0.72251,0.9783,0.6239,1.38946,0.000586286,0.000586286,0.000586286
14,554.844,0.9439,0.74482,1.22034,0.9498,0.9662,0.97425,0.73129,0.92512,0.55952,1.33525,0.000571059,0.000571059,0.000571059
15,592.571,0.91279,0.7025,1.19476,0.9559,0.93705,0.97563,0.7437,0.92678,0.54829,1.33379,0.000555833,0.000555833,0.000555833
16,629.808,0.90837,0.67176,1.18667,0.95188,0.91924,0.97066,0.73887,0.91219,0.5626,1.30638,0.000540607,0.000540607,0.000540607
17,667.797,0.90058,0.6769,1.19603,0.9524,0.966,0.98635,0.74891,0.91895,0.51643,1.34652,0.000525381,0.000525381,0.000525381
18,705.629,0.8894,0.66626,1.18983,0.97248,0.94638,0.97266,0.75226,0.89501,0.50162,1.30369,0.000510155,0.000510155,0.000510155
19,744.59,0.86795,0.63949,1.17026,0.95719,0.93563,0.97282,0.7502,0.88094,0.49886,1.28022,0.000494928,0.000494928,0.000494928
20,783.53,0.86959,0.62028,1.17289,0.95471,0.95748,0.97472,0.76049,0.88363,0.47347,1.27631,0.000479702,0.000479702,0.000479702
21,823.092,0.86509,0.62851,1.17095,0.95737,0.95942,0.97221,0.76153,0.88023,0.49808,1.2941,0.000464476,0.000464476,0.000464476
22,861.075,0.84125,0.59958,1.15683,0.9772,0.95701,0.97708,0.76439,0.86318,0.46289,1.27563,0.00044925,0.00044925,0.00044925
23,897.826,0.83999,0.58678,1.15471,0.97122,0.94774,0.97713,0.77307,0.85023,0.4591,1.27205,0.000434024,0.000434024,0.000434024
24,935.049,0.82394,0.57712,1.14986,0.95401,0.96685,0.98298,0.77606,0.85947,0.45677,1.28925,0.000418797,0.000418797,0.000418797
25,972.5,0.8271,0.58595,1.15536,0.96385,0.95219,0.96941,0.75999,0.86755,0.46701,1.29044,0.000403571,0.000403571,0.000403571
26,1009.86,0.81621,0.55909,1.13894,0.97683,0.94412,0.97222,0.7794,0.82955,0.44471,1.25298,0.000388345,0.000388345,0.000388345
27,1052.2,0.80924,0.54195,1.13299,0.97377,0.95665,0.97796,0.79226,0.84859,0.43318,1.26758,0.000373119,0.000373119,0.000373119
28,1089.1,0.78971,0.53763,1.12646,0.98088,0.95647,0.98398,0.78995,0.82587,0.40393,1.27628,0.000357893,0.000357893,0.000357893
29,1125.65,0.779,0.53283,1.11994,0.96411,0.96158,0.98161,0.78242,0.83446,0.41424,1.27768,0.000342666,0.000342666,0.000342666
