epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.179,0.4309,3.84717,0.91574,0.89842,0.87457,0.92802,0.88722,0.3361,0.48779,0.80589,9.49458e-05,9.49458e-05,9.49458e-05
2,285.44,0.37499,0.88023,0.87518,0.9268,0.86569,0.94426,0.90501,0.317,0.48455,0.79924,0.000171441,0.000171441,0.000171441
3,414.504,0.37727,0.58913,0.86791,0.88764,0.9369,0.96024,0.89335,0.39889,0.47697,0.83983,0.000229061,0.000229061,0.000229061
4,545.067,0.36779,0.48612,0.86416,0.94785,0.94975,0.98044,0.94345,0.30389,0.37829,0.79576,0.000201058,0.000201058,0.000201058
5,678.717,0.33461,0.42048,0.85275,0.94327,0.94712,0.98018,0.94776,0.28158,0.35663,0.78668,0.000172744,0.000172744,0.000172744
6,809.278,0.31024,0.35436,0.83423,0.93507,0.98517,0.9879,0.9653,0.25879,0.27179,0.77266,0.00014443,0.00014443,0.00014443
7,938.792,0.29099,0.31478,0.82359,0.95725,0.97261,0.98868,0.9734,0.24275,0.2583,0.76611,0.000116116,0.000116116,0.000116116
8,1067.97,0.26335,0.27537,0.82077,0.97659,0.95915,0.98934,0.97709,0.22554,0.23628,0.76368,8.7802e-05,8.7802e-05,8.7802e-05
9,1198.79,0.23612,0.23872,0.80618,0.97931,0.96291,0.98933,0.97982,0.2063,0.2202,0.75425,5.9488e-05,5.9488e-05,5.9488e-05
10,1332.04,0.22138,0.21659,0.80049,0.97956,0.96293,0.98855,0.97924,0.19257,0.21365,0.75355,3.1174e-05,3.1174e-05,3.1174e-05
