epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2605,1.12529,2.94698,1.47303,0.83645,0.64724,0.76824,0.48977,0.98262,12.5109,1.47392,0.000367141,0.000367141,0.000367141
2,104.424,1.21359,2.0298,1.44744,0.58949,0.79386,0.75771,0.51579,0.89536,13.4686,1.27921,0.000722872,0.000722872,0.000722872
3,148.122,1.21761,1.61394,1.4131,0.79514,0.83912,0.83049,0.50813,1.09707,8.5126,1.48583,0.00106394,0.00106394,0.00106394
4,193.88,1.2108,1.38648,1.38663,0.84175,0.84064,0.88302,0.51528,1.10237,7.974,1.46894,0.00104501,0.00104501,0.00104501
5,236.45,1.1922,1.20024,1.38501,0.83653,0.90838,0.92868,0.60702,0.93774,2.61518,1.30743,0.00102301,0.00102301,0.00102301
6,281.776,1.16902,1.0893,1.3426,0.79399,0.89366,0.91578,0.61344,0.86403,4.36404,1.23491,0.00100101,0.00100101,0.00100101
7,330.316,1.16277,1.02741,1.35379,0.82035,0.78294,0.87312,0.58247,0.87823,1.71421,1.22446,0.000979013,0.000979013,0.000979013
8,373.289,1.14079,0.97868,1.3435,0.90026,0.9458,0.93569,0.64013,0.86392,0.62978,1.17835,0.000957015,0.000957015,0.000957015
9,417.246,1.10163,0.87275,1.30447,0.82218,0.8737,0.903,0.57242,1.01145,2.36037,1.27243,0.000935018,0.000935018,0.000935018
10,463.787,1.08684,0.88939,1.30412,0.87261,0.92496,0.95012,0.68277,0.78263,2.64334,1.15084,0.00091302,0.00091302,0.00091302
11,507.267,1.06367,0.82062,1.28193,0.90395,0.96634,0.97866,0.69882,0.79283,0.51437,1.15142,0.000891022,0.000891022,0.000891022
12,554.396,1.04841,0.8102,1.28025,0.91344,0.95444,0.98007,0.67199,0.84681,0.5547,1.18285,0.000869024,0.000869024,0.000869024
13,600.478,1.03396,0.77503,1.26735,0.93746,0.95042,0.95161,0.67852,0.82876,0.53535,1.16644,0.000847026,0.000847026,0.000847026
14,644.189,1.01717,0.76808,1.26187,0.95979,0.95756,0.96597,0.69539,0.79324,0.95832,1.13015,0.000825029,0.000825029,0.000825029
15,687.279,1.00681,0.73928,1.24841,0.92188,0.95854,0.96264,0.67864,0.7801,0.65559,1.13794,0.000803031,0.000803031,0.000803031
16,732.989,1.00519,0.71298,1.24725,0.95931,0.96968,0.98211,0.73237,0.75437,0.42891,1.11419,0.000781033,0.000781033,0.000781033
17,779.721,0.98662,0.69902,1.24913,0.96378,0.94453,0.98296,0.68619,0.75552,0.90626,1.12104,0.000759035,0.000759035,0.000759035
18,823.913,0.96249,0.68673,1.22915,0.93715,0.96636,0.97142,0.68051,0.82647,0.73047,1.15667,0.000737037,0.000737037,0.000737037
19,867.984,0.95608,0.65613,1.21703,0.94744,0.9545,0.96775,0.71222,0.73572,0.3942,1.08714,0.00071504,0.00071504,0.00071504
20,911.605,0.95477,0.66052,1.22222,0.96028,0.97998,0.9838,0.68703,0.80645,0.40081,1.15849,0.000693042,0.000693042,0.000693042
21,956.133,0.94719,0.6904,1.21397,0.94944,0.95863,0.97068,0.71732,0.71734,0.42927,1.0977,0.000671044,0.000671044,0.000671044
22,1004.89,0.9142,0.64211,1.20123,0.9686,0.94149,0.97766,0.73442,0.74105,0.39732,1.07983,0.000649046,0.000649046,0.000649046
23,1047.31,0.89146,0.61041,1.1856,0.96409,0.95623,0.98768,0.73465,0.72817,0.38851,1.0873,0.000627048,0.000627048,0.000627048
24,1091.99,0.90156,0.61529,1.18993,0.95062,0.94378,0.96265,0.7295,0.68455,0.36707,1.0522,0.000605051,0.000605051,0.000605051
25,1134.75,0.89795,0.63954,1.20403,0.96524,0.96174,0.97288,0.72084,0.72603,0.4995,1.07244,0.000583053,0.000583053,0.000583053
26,1177.77,0.90376,0.60499,1.20128,0.97551,0.93834,0.98931,0.72659,0.70572,0.37719,1.04378,0.000561055,0.000561055,0.000561055
27,1224.04,0.87011,0.58346,1.16485,0.95117,0.94594,0.96424,0.72973,0.71367,0.3814,1.05836,0.000539057,0.000539057,0.000539057
28,1268.82,0.87449,0.58193,1.18424,0.97733,0.96318,0.98952,0.76145,0.65646,0.39242,1.02017,0.000517059,0.000517059,0.000517059
29,1311.75,0.87063,0.59659,1.17345,0.96678,0.96767,0.98615,0.73786,0.67357,0.35311,1.02577,0.000495062,0.000495062,0.000495062
30,1354.46,0.84055,0.5744,1.17134,0.93915,0.97646,0.98666,0.7435,0.67252,0.39706,1.04302,0.000473064,0.000473064,0.000473064
31,1400,0.83562,0.55562,1.15177,0.98165,0.95469,0.98529,0.76103,0.66266,0.34829,1.04053,0.000451066,0.000451066,0.000451066
32,1446.51,0.82547,0.55982,1.15205,0.96133,0.95891,0.9885,0.75155,0.66212,0.36663,1.02965,0.000429068,0.000429068,0.000429068
33,1490.54,0.81927,0.55836,1.15488,0.97123,0.95087,0.98273,0.75415,0.65906,0.52007,1.0146,0.00040707,0.00040707,0.00040707
34,1535.8,0.80672,0.54528,1.15126,0.96097,0.96615,0.97465,0.7679,0.5983,0.33077,0.98953,0.000385073,0.000385073,0.000385073
35,1578.48,0.8064,0.51928,1.1474,0.96844,0.97647,0.98027,0.75004,0.6651,0.33081,1.02476,0.000363075,0.000363075,0.000363075
36,1621.45,0.7963,0.5244,1.13839,0.98277,0.96295,0.98688,0.75107,0.6924,0.35217,1.04087,0.000341077,0.000341077,0.000341077
37,1671.61,0.78908,0.50672,1.13171,0.98014,0.9814,0.99299,0.76745,0.63639,0.31236,1.0116,0.000319079,0.000319079,0.000319079
