epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.008,0.72088,2.3815,1.32578,0.94827,0.92911,0.98495,0.86147,0.53115,0.54094,1.00228,0.000174953,0.000174953,0.000174953
2,373.75,0.70829,0.73425,1.28647,0.95219,0.95224,0.98423,0.87435,0.52645,0.47695,1.01261,0.000315608,0.000315608,0.000315608
3,555.643,0.71124,0.61783,1.28484,0.89973,0.93154,0.97732,0.89199,0.45895,0.51153,0.96755,0.000421547,0.000421547,0.000421547
4,730.895,0.66081,0.5186,1.2394,0.97991,0.98741,0.9917,0.92344,0.4223,0.33053,0.92528,0.000369778,0.000369778,0.000369778
5,908.41,0.61744,0.44863,1.20178,0.98863,0.98316,0.99062,0.94618,0.35081,0.29363,0.87458,0.000317704,0.000317704,0.000317704
6,1086.66,0.56701,0.38619,1.15929,0.99478,0.99375,0.99266,0.96156,0.3075,0.22215,0.83041,0.00026563,0.00026563,0.00026563
7,1260.76,0.54694,0.34289,1.14026,0.99496,0.99271,0.99347,0.96538,0.28837,0.22331,0.8197,0.000213556,0.000213556,0.000213556
8,1438.51,0.52034,0.31119,1.12056,0.99174,0.99179,0.9938,0.97327,0.26918,0.21602,0.80779,0.000161482,0.000161482,0.000161482
9,1617.29,0.47733,0.28347,1.08525,0.99604,0.99308,0.99388,0.97874,0.23931,0.18172,0.79048,0.000109408,0.000109408,0.000109408
10,1793.52,0.44858,0.25399,1.06309,0.99534,0.98969,0.99401,0.98106,0.21904,0.16118,0.77727,5.7334e-05,5.7334e-05,5.7334e-05
