epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.859,0.93785,2.78305,1.26186,0.00522,1,0.55559,0.43692,0.44583,3.11839,0.94216,0.0001667,0.0001667,0.0001667
2,355.379,0.80663,1.9273,1.14363,0.00503,1,0.49148,0.39575,0.62878,2.94105,0.99827,0.000338518,0.000338518,0.000338518
3,519.252,0.77997,1.69112,1.12094,0.62465,0.5894,0.68692,0.58143,0.5486,2.43156,1.00543,0.000498233,0.000498233,0.000498233
4,688.948,0.82294,1.46027,1.13642,0.7193,0.55444,0.81439,0.63854,0.73153,2.5534,1.15968,0.000645846,0.000645846,0.000645846
5,851.359,0.82999,1.32194,1.1315,0.59291,0.76688,0.81745,0.62558,0.76755,2.34499,1.12843,0.000781356,0.000781356,0.000781356
6,1024.24,0.82691,1.22384,1.11355,0.63043,0.60313,0.6479,0.43032,0.86265,2.47793,1.32407,0.000904764,0.000904764,0.000904764
7,1186.79,0.85664,1.17633,1.14932,0.83728,0.78006,0.88027,0.65214,0.81723,2.02731,1.28885,0.00101607,0.00101607,0.00101607
8,1352.29,0.85627,1.20891,1.15688,0.37833,0.58504,0.37734,0.23431,1.06703,3.16881,1.32288,0.00111527,0.00111527,0.00111527
9,1518.26,0.82185,1.13485,1.12569,0.71939,0.66373,0.77703,0.62981,0.78572,2.05721,1.1706,0.00120237,0.00120237,0.00120237
10,1683.9,0.76167,1.00443,1.05932,0.67105,0.67934,0.77746,0.54827,1.06559,2.24883,1.32401,0.0011719,0.0011719,0.0011719
11,1850,0.7391,0.95215,1.05748,0.60161,0.86045,0.88771,0.69682,0.66837,1.87532,1.12795,0.00111689,0.00111689,0.00111689
12,2014.51,0.78058,0.98528,1.09734,0.89591,0.86838,0.95751,0.78282,0.60895,1.53002,1.07933,0.00106188,0.00106188,0.00106188
13,2179.6,0.74485,0.95729,1.07318,0.78743,0.84081,0.89264,0.64972,0.87847,1.74042,1.36656,0.00100687,0.00100687,0.00100687
14,2345.69,0.75652,0.95807,1.07177,0.95077,0.93077,0.97583,0.81597,0.64345,1.03464,0.99248,0.000951857,0.000951857,0.000951857
15,2510.97,0.74619,0.92315,1.0721,0.96803,0.93744,0.97909,0.84002,0.60478,1.04011,1.00252,0.000896846,0.000896846,0.000896846
16,2678.49,0.72167,0.87662,1.05954,0.9321,0.96236,0.97506,0.8451,0.57119,0.95199,0.97278,0.000841835,0.000841835,0.000841835
17,2850.57,0.70747,0.8506,1.0637,0.96373,0.96486,0.98455,0.88926,0.46936,0.87328,0.91094,0.000786824,0.000786824,0.000786824
18,3015.66,0.7544,0.81413,1.05722,0.99113,0.96172,0.99282,0.87665,0.50119,0.86747,0.92213,0.000731813,0.000731813,0.000731813
19,3186.68,0.6694,0.7605,1.03649,0.97515,0.97051,0.99303,0.85965,0.53984,0.88029,0.94069,0.000676802,0.000676802,0.000676802
20,3356.28,0.67137,0.75719,1.05477,0.94895,0.98387,0.98695,0.8329,0.55338,0.87041,0.92634,0.000621791,0.000621791,0.000621791
21,3535.37,0.48476,0.81736,0.944,0.96902,0.97932,0.98335,0.85072,0.50113,0.90793,0.90743,0.00056678,0.00056678,0.00056678
22,3707.19,0.40778,0.73252,0.89911,0.94879,0.9892,0.99272,0.90504,0.4329,0.87412,0.88273,0.000511769,0.000511769,0.000511769
23,3876.33,0.44032,0.72067,0.92864,0.976,0.96484,0.99275,0.90602,0.45096,0.77733,0.90341,0.000456758,0.000456758,0.000456758
24,4044.28,0.44006,0.69161,0.92037,0.98503,0.98387,0.99368,0.91301,0.39674,0.74102,0.85847,0.000401747,0.000401747,0.000401747
25,4222.19,0.40692,0.65915,0.87439,0.97444,0.98087,0.99361,0.91935,0.38985,0.74044,0.85559,0.000346736,0.000346736,0.000346736
26,4394.4,0.40413,0.66616,0.88118,0.98102,0.97835,0.99409,0.91264,0.42529,0.72174,0.8616,0.000291725,0.000291725,0.000291725
27,4556.74,0.36128,0.63252,0.87562,0.95998,0.98888,0.99456,0.93318,0.37807,0.67343,0.85326,0.000236714,0.000236714,0.000236714
28,4719.11,0.35995,0.60363,0.88173,0.96108,0.98239,0.99409,0.93514,0.34498,0.62114,0.84164,0.000181703,0.000181703,0.000181703
29,4880.36,0.34642,0.58364,0.87782,0.99597,0.96941,0.995,0.93688,0.33599,0.6063,0.83155,0.000126692,0.000126692,0.000126692
30,5042.36,0.32898,0.57868,0.87575,0.97573,1,0.995,0.93626,0.33678,0.61518,0.82975,7.1681e-05,7.1681e-05,7.1681e-05
